Date_SPX,SPX_Index,PX_VOLUME_SPX,Date_AXX,AXX_Index,PX_VOLUME_AXX,Date_CLXP,CLXP_Index,PX_VOLUME_CLXP,Date_ITLMS,ITLMS_Index,PX_VOLUME_ITLMS,Date_AS52,AS52_Index,PX_VOLUME_AS52,Date_SHSZ300,SHSZ300_Index,PX_VOLUME_SHSZ300
5/9/2019,2870.72,544559863,5/13/2019,950.97,1756450414,5/13/2019,8550.55,64653618,5/13/2019,22511.79,856065082,5/13/2019,6250.66,600429565,5/14/2019,3645.15,10231346020
5/10/2019,2881.4,529803868,5/14/2019,954.95,3070351186,5/14/2019,8659.3,66141262,5/14/2019,22822.15,629227542,5/14/2019,6194.07,792273560,5/15/2019,3727.09,11016176896
5/13/2019,2811.87,638798515,5/15/2019,957.9,1931894254,5/15/2019,8726.34,51501369,5/15/2019,22780.63,740631079,5/15/2019,6237.53,610107404,5/16/2019,3743.96,11625827371
5/14/2019,2834.41,522835289,5/16/2019,960.92,1934347400,5/16/2019,8845.56,46962345,5/16/2019,23076.12,637121206,5/16/2019,6280.63,777101999,5/17/2019,3648.76,12845324457
5/15/2019,2850.96,486172172,5/17/2019,958.69,1819786886,5/17/2019,8778.15,38951990,5/17/2019,23030.25,641518060,5/17/2019,6318.03,701177533,5/20/2019,3617.79,10896347666
5/16/2019,2876.32,502289680,5/20/2019,957.01,1482416692,5/20/2019,8650.98,39794984,5/20/2019,22436.6,698391286,5/20/2019,6425.3,748073112,5/21/2019,3666.78,11102292034
5/17/2019,2859.53,566146621,5/21/2019,959.44,1941747278,5/21/2019,8669.53,40487404,5/21/2019,22614.26,581702984,5/21/2019,6448.47,753571537,5/22/2019,3649.38,9834612808
5/20/2019,2840.23,510201802,5/22/2019,965.99,1544097080,5/22/2019,8659.3,39397870,5/22/2019,22494.12,517414836,5/22/2019,6459.73,741866035,5/23/2019,3583.96,9989778089
5/21/2019,2864.36,475932198,5/23/2019,957.54,1210337701,5/23/2019,8500.55,59083644,5/23/2019,22040.94,645262190,5/23/2019,6442.62,749858170,5/24/2019,3593.91,8093404769
5/22/2019,2856.27,432635196,5/24/2019,960.59,1143199652,5/24/2019,8536.11,43331393,5/24/2019,22296.32,543600138,5/24/2019,6407.12,753830340,5/27/2019,3637.2,10883087116
5/23/2019,2822.24,577204331,5/28/2019,965.33,1424950891,5/27/2019,8561.92,23184354,5/27/2019,22273.51,395287683,5/27/2019,6404.28,557387248,5/28/2019,3672.26,11788624049
5/24/2019,2826.06,399877052,5/29/2019,956.79,1450375419,5/28/2019,8535.28,89623979,5/28/2019,22172.23,826861732,5/28/2019,6437.71,1033855084,5/29/2019,3663.91,9335544108
5/28/2019,2802.39,947941654,5/30/2019,961.78,1871301595,5/29/2019,8420.79,45580789,5/29/2019,21895.78,503851318,5/29/2019,6394.18,683110119,5/30/2019,3641.18,9420256068
5/29/2019,2783.02,539210768,5/31/2019,959.91,1898803307,5/30/2019,8467.02,27040866,5/30/2019,21855.69,396456617,5/30/2019,6347.04,837128590,5/31/2019,3629.79,8922226697
5/30/2019,2788.86,411329242,6/3/2019,949.66,1472057554,5/31/2019,8419.64,46034825,5/31/2019,21704.33,561720391,5/31/2019,6351.79,865626742,6/3/2019,3632.01,10072317967
5/31/2019,2752.06,591092195,6/4/2019,941.93,2281566008,6/3/2019,8466.43,38352259,6/3/2019,21770.39,454094351,6/3/2019,6275,746127105,6/4/2019,3598.47,8709709437
6/3/2019,2744.45,679951656,6/5/2019,939.41,3439925091,6/4/2019,8550.64,48583605,6/4/2019,22129.86,581313287,6/4/2019,6285.95,855999364,6/5/2019,3597.11,8864201984
6/4/2019,2803.27,597988580,6/6/2019,935.59,3543823074,6/5/2019,8584.45,39809727,6/5/2019,22076.43,555001391,6/5/2019,6310.89,768419865,6/6/2019,3564.68,8553440325
6/5/2019,2826.15,544464440,6/7/2019,938.43,2394303778,6/6/2019,8505.02,43909468,6/6/2019,22100.07,538211370,6/6/2019,6334.4,778891930,6/10/2019,3610.74,9237506080
6/6/2019,2843.49,539033231,6/10/2019,943.38,2400826442,6/7/2019,8560.29,45939470,6/7/2019,22297.16,484628405,6/7/2019,6393.72,724148726,6/11/2019,3719.28,14348280572
6/7/2019,2873.34,483825470,6/11/2019,945.29,2355677119,6/11/2019,8689.3,46581714,6/10/2019,22433.09,416716541,6/11/2019,6494.46,852822666,6/12/2019,3691.1,11917885287
6/10/2019,2886.73,484195735,6/12/2019,944.31,2259298145,6/12/2019,8675.54,55108644,6/11/2019,22566.44,546204855,6/12/2019,6493.09,795307990,6/13/2019,3685.39,9633171805
6/11/2019,2885.72,579421044,6/13/2019,938.97,2667498588,6/13/2019,8676.08,40717253,6/12/2019,22405.92,422687904,6/13/2019,6490.9,731778457,6/14/2019,3654.88,10181700362
6/12/2019,2879.84,410704592,6/14/2019,937.21,2009519664,6/14/2019,8630.48,36759145,6/13/2019,22580.13,444902536,6/14/2019,6502.58,690961391,6/17/2019,3654.82,7297667841
6/13/2019,2891.64,438698518,6/17/2019,937.46,3168830339,6/17/2019,8671.13,31684708,6/14/2019,22545.75,384672540,6/17/2019,6480.54,706393293,6/18/2019,3667.62,7069226581
